"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.408381966046977	0	NA	6	31	0.193548387096774
"AY.2"	"sample.freebayes.ann"	0.39028876094844	0.18483314479638	0.184873949579832	6	29	0.206896551724138
"AY.3"	"sample.freebayes.ann"	0.420257670983811	0	NA	6	30	0.2
"AY.3.1"	"sample.freebayes.ann"	0.393991566547323	0	NA	6	32	0.1875
"B.1.1.7"	"sample.freebayes.ann"	0.101851665922018	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0974233326210604	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0721301096511582	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0618258082724213	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0893185745630688	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.505608893830335	0.830188679245283	0.830188679245283	7	21	0.333333333333333
"P.1"	"sample.freebayes.ann"	0.0614303401063288	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0672808486878839	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0614303401063288	0	NA	1	23	0.0434782608695652
