"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.564795419634129	0	NA	15	31	0.483870967741935
"AY.2"	"sample.freebayes.ann"	0.453563964770861	0.0885416666666667	0.333333333333333	12	29	0.413793103448276
"AY.3"	"sample.freebayes.ann"	0.583621933621934	0	NA	15	30	0.5
"AY.3.1"	"sample.freebayes.ann"	0.547145562770563	0	NA	15	32	0.46875
"B.1.1.7"	"sample.freebayes.ann"	0.0454545454545455	0	NA	1	22	0.0454545454545455
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
"B.1.351"	"sample.freebayes.ann"	0.0555555555555556	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0476190476190476	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0727272727272727	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.624366110080396	0.666666666666667	0.666666666666667	12	21	0.571428571428571
"P.1"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0476190476190476	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
