"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.0951074347912303	0.0172413793103448	0.0172413793103448	2	31	0.0645161290322581
"AY.2"	"sample.freebayes.ann"	0.0725824299683037	0	NA	1	29	0.0344827586206897
"AY.3"	"sample.freebayes.ann"	0.0799879507184708	0	NA	2	30	0.0666666666666667
"AY.3.1"	"sample.freebayes.ann"	0.0749887037985664	0	NA	2	32	0.0625
"B.1.1.7"	"sample.freebayes.ann"	0.150192012832375	0	NA	4	23	0.173913043478261
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.143934012297693	0	NA	4	24	0.166666666666667
"B.1.351"	"sample.freebayes.ann"	0.119090951847025	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.102077958726022	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.0980062333293842	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.0749257091151018	0	NA	1	21	0.0476190476190476
"P.1"	"sample.freebayes.ann"	0.111180029740137	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.0767707883610848	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.111180029740137	0	NA	3	23	0.130434782608696
