sample	variant_group	proportion	mean	std_error
sample	A.23.1	0	0.0	0.0
sample	AV.1	0.10133510330223788	0.10149898304913785	0.00728774240072622
sample	Alpha_B.1.1.7	0.02442074103597959	0.024243080791112797	0.008735116648533311
sample	B.1	0	1.0780586783140805e-10	3.0706773077080606e-10
sample	B.1.1	0.2652055870471949	0.26711988118615076	0.01723738496308551
sample	B.1.1.318	0	0.0	0.0
sample	B.1.177	0	0.0	0.0
sample	B.1.617.3	0	0.0	0.0
sample	B.1.621	0.013512579479296216	0.013943975141332417	0.0038892605451839334
sample	B.1.623	0.0034160296911191607	0.003487132826392193	0.003222268201692847
sample	Beta_B.1.351	0.040428829465075596	0.04102655033647756	0.006872606669572042
sample	Delta_B.1.617.2	0.3150272823116487	0.31372001423469226	0.013032038855936505
sample	Epsilon_B.1.427_429	0	0.0	0.0
sample	Eta_B.1.525	0.07246283148178291	0.07214714588281115	0.007820200612829101
sample	Gamma_P.1	0.05613217219300988	0.05466212815546041	0.006881866249140902
sample	Iota_B.1.526	0.002043653522000744	0.0022439162641501166	0.0022612149284753887
sample	Kappa_B.1.617.1	0.0043457528854300275	0.004341440083907634	0.002717705862518519
sample	Lambda_C.37	0.0982594434380269	0.09756859917162652	0.0071647328886661615
sample	Theta_P.3	0.0034100152586849708	0.003997183202433717	0.004224076230665349
sample	Zeta_P.2	0	0.0	0.0
