sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0007720407988444032	0.0007707988088603432	0.00014683895240045144
sample	AV.1	0.15182325034907873	0.1517314171943102	0.0019554601043289023
sample	Alpha_B.1.1.7	0.006026806150194082	0.006095667467588446	0.0009945745736214475
sample	B.1	9.962455435641255e-09	6.305126789327105e-08	6.495254300682396e-08
sample	B.1.1	0.33190133023507723	0.3322611998110989	0.004025728379418445
sample	B.1.1.318	0.000757897550334626	0.0007950142402301788	0.00022778104144280468
sample	B.1.177	0.0008355258398207666	0.0008678146710171436	0.00028414402822482673
sample	B.1.617.3	0.00041535281520358857	0.0004170245565097386	0.0001289300221898535
sample	B.1.621	0.010237677019541709	0.010104720672206928	0.0009154084109386361
sample	B.1.623	0.002935138157299778	0.0030025719851078147	0.0007138707877390532
sample	Beta_B.1.351	0.030681017754719837	0.030835552321005735	0.0013414425584338846
sample	Delta_B.1.617.2	0.049645464853182365	0.04956563012006068	0.0011417550451195161
sample	Epsilon_B.1.427_429	0.0005007759039955623	0.0004775188688997055	0.00018591889360250496
sample	Eta_B.1.525	0.085513186184574	0.08555681462870567	0.0014382802450462505
sample	Gamma_P.1	0.09136376144408499	0.09120788357718931	0.0017258942635016198
sample	Iota_B.1.526	0.00047414445269691253	0.0004862288054818861	0.0003023283689878127
sample	Kappa_B.1.617.1	0.0006203537208472578	0.0006127289345489949	0.0001817724776975653
sample	Lambda_C.37	0.23276211587628748	0.23250217430018805	0.002385252900394483
sample	Theta_P.3	0.0023050856260527935	0.002293901107492249	0.0007651859139162066
sample	Zeta_P.2	0.00042929701773390655	0.00041582011865497524	0.00018933048715341866
