"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.429200501081487	0	NA	6	31	0.193548387096774
"AY.2"	"sample.freebayes.ann"	0.380032811197212	0.159872031599994	0.161764705882353	6	29	0.206896551724138
"AY.3"	"sample.freebayes.ann"	0.440674644228798	0	NA	6	30	0.2
"AY.3.1"	"sample.freebayes.ann"	0.413132478964499	0	NA	6	32	0.1875
"B.1.1.7"	"sample.freebayes.ann"	0.106805269220167	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.102161561862769	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0796107682115283	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0682378013241671	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0854888646289709	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.503256736681922	0.911392405063291	0.911392405063291	7	21	0.333333333333333
"P.1"	"sample.freebayes.ann"	0.0700511093861833	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0767226436134389	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0700511093861833	0	NA	1	23	0.0434782608695652
