"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.562776723592663	0	NA	15	31	0.483870967741935
"AY.2"	"sample.freebayes.ann"	0.55320197044335	0.505357142857143	0.142857142857143	15	29	0.517241379310345
"AY.3"	"sample.freebayes.ann"	0.581535947712418	0	NA	15	30	0.5
"AY.3.1"	"sample.freebayes.ann"	0.545189950980392	0	NA	15	32	0.46875
"B.1.1.7"	"sample.freebayes.ann"	0.0454545454545455	0	NA	1	22	0.0454545454545455
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
"B.1.351"	"sample.freebayes.ann"	0.0555555555555556	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0476190476190476	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0909090909090909	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.619047619047619	1	1	13	21	0.619047619047619
"P.1"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0476190476190476	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
