"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.504366115350117	0	NA	11	31	0.354838709677419
"AY.2"	"sample.freebayes.ann"	0.440765024988088	0.279985364019626	0.234177215189873	10	29	0.344827586206897
"AY.3"	"sample.freebayes.ann"	0.521178319195121	0	NA	11	30	0.366666666666667
"AY.3.1"	"sample.freebayes.ann"	0.488604674245426	0	NA	11	32	0.34375
"B.1.1.7"	"sample.freebayes.ann"	0.0904255319148936	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0864939870490287	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0549645390070922	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.047112462006079	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.081767523256885	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.548168265796586	0.969230769230769	0.969230769230769	11	21	0.523809523809524
"P.1"	"sample.freebayes.ann"	0.0430157261794635	0	NA	1	24	0.0416666666666667
"P.1.1"	"sample.freebayes.ann"	0.0469262467412329	0	NA	1	22	0.0454545454545455
"P.1.2"	"sample.freebayes.ann"	0.0430157261794635	0	NA	1	24	0.0416666666666667
