"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.486286987379599	0	NA	13	31	0.419354838709677
"AY.2"	"sample.freebayes.ann"	0.429101525097076	0.248214285714286	0.2	12	29	0.413793103448276
"AY.3"	"sample.freebayes.ann"	0.502496553625586	0	NA	13	30	0.433333333333333
"AY.3.1"	"sample.freebayes.ann"	0.471090519023987	0	NA	13	32	0.40625
"B.1.1.7"	"sample.freebayes.ann"	0.0454545454545455	0	NA	1	22	0.0454545454545455
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0434782608695652	0	NA	1	23	0.0434782608695652
"B.1.351"	"sample.freebayes.ann"	0.0555555555555556	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0476190476190476	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0727272727272727	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.521820473433377	0.5	0.5	11	21	0.523809523809524
"P.1"	"sample.freebayes.ann"	0.0869565217391304	0	NA	2	23	0.0869565217391304
"P.1.1"	"sample.freebayes.ann"	0.0952380952380952	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.0869565217391304	0	NA	2	23	0.0869565217391304
