sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0006235624324665863	0.0006140333256362271	0.00014923358669939086
sample	AV.1	0.17008735981931455	0.1699599709770494	0.001988048170563566
sample	Alpha_B.1.1.7	0.027617947643810335	0.02735565221404793	0.002119520305094044
sample	B.1	3.809811891601803e-07	3.8445284227608776e-07	1.392013068118309e-07
sample	B.1.1	0.4234561206256059	0.42405314881800665	0.003908466791921139
sample	B.1.1.318	0.0011823275508465768	0.0011554699961188143	0.0002699764513431132
sample	B.1.177	7.877657678737407e-07	7.913919051598522e-07	2.871187185688345e-07
sample	B.1.617.3	6.462578248948991e-05	6.909955410605803e-05	6.77441197437253e-05
sample	B.1.621	0.02524111035859471	0.0252454553892413	0.0010622063204840156
sample	B.1.623	0.003335415801530938	0.003305335782529022	0.0011374180928164146
sample	Beta_B.1.351	0.04726395435216731	0.047345722842059075	0.001855455276532826
sample	Delta_B.1.617.2	0.05321164781982204	0.053130330533775576	0.0012597340175794622
sample	Epsilon_B.1.427_429	0.0007522238910003648	0.0007448518133811899	0.00019761488143341468
sample	Eta_B.1.525	0.04838951619664056	0.04809812568043598	0.001363619489765685
sample	Gamma_P.1	0.057026466247035085	0.05703313954136007	0.0016531975067072427
sample	Iota_B.1.526	1.4089212202363396e-05	5.43542693354996e-05	0.00011283624951992213
sample	Kappa_B.1.617.1	0.000532478791438092	0.00052910342107159	0.00013677185351608032
sample	Lambda_C.37	0.1390811445547706	0.13917446625672578	0.0020462769660457903
sample	Theta_P.3	0.0014865312302244926	0.0015424461079054576	0.000408725162586154
sample	Zeta_P.2	0.0006308208195420609	0.0005868826854745653	0.00024432409136005995
