"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.21315674267218	0	NA	3	31	0.0967741935483871
"AY.2"	"sample.freebayes.ann"	0.225307241927325	0.086313048681585	0.0858895705521472	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.206432180193877	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.193530168931759	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.128627714779935	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.123035205441677	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.124059746400172	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.106336925485862	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.109620311989751	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.305652766088087	0.990196078431373	0.990196078431373	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.112401375070041	0	NA	2	23	0.0869565217391304
"P.1.1"	"sample.freebayes.ann"	0.123106267933854	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.112401375070041	0	NA	2	23	0.0869565217391304
