"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.148452493821375	0	NA	2	31	0.0645161290322581
"AY.2"	"sample.freebayes.ann"	0.142268601575126	0.0128470402775882	0.0195121951219512	2	29	0.0689655172413793
"AY.3"	"sample.freebayes.ann"	0.140075084456261	0	NA	2	30	0.0666666666666667
"AY.3.1"	"sample.freebayes.ann"	0.131320391677745	0	NA	2	32	0.0625
"B.1.1.7"	"sample.freebayes.ann"	0.11206930951919	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.107196730844443	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.111103852907132	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0952318739203985	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0942952826363641	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.211799988199616	0.824561403508772	0.824561403508772	3	21	0.142857142857143
"P.1"	"sample.freebayes.ann"	0.0999029998329672	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.109417571245631	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0999029998329672	0	NA	1	23	0.0434782608695652
