"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.47021249359959	0	NA	13	31	0.419354838709677
"AY.2"	"sample.freebayes.ann"	0.326724137931034	0.0277777777777778	0.222222222222222	9	29	0.310344827586207
"AY.3"	"sample.freebayes.ann"	0.484404761904762	0	NA	13	30	0.433333333333333
"AY.3.1"	"sample.freebayes.ann"	0.454129464285714	0	NA	13	32	0.40625
"B.1.1.7"	"sample.freebayes.ann"	0.0909090909090909	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0869565217391304	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0580246913580247	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0497354497354497	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0838383838383838	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.480820105820106	0.888888888888889	0.888888888888889	10	21	0.476190476190476
"P.1"	"sample.freebayes.ann"	0.0652173913043478	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0714285714285714	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0652173913043478	0	NA	1	23	0.0434782608695652
