"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.418275803719517	0	NA	8	31	0.258064516129032
"AY.2"	"sample.freebayes.ann"	0.37845850185581	0.143705010103323	0.165178571428571	8	29	0.275862068965517
"AY.3"	"sample.freebayes.ann"	0.430590588118094	0	NA	8	30	0.266666666666667
"AY.3.1"	"sample.freebayes.ann"	0.403678676360713	0	NA	8	32	0.25
"B.1.1.7"	"sample.freebayes.ann"	0.0995750988142293	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0952457466918715	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0691380247597362	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0592611640797739	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0895863427279488	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.50501883951434	0.828571428571429	0.828571428571429	9	21	0.428571428571429
"P.1"	"sample.freebayes.ann"	0.0742295687343386	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0812990514709423	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0742295687343386	0	NA	1	23	0.0434782608695652
