"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.196565344031352	0.0131578947368421	0.0131578947368421	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.169407062819911	0.01439452124936	0.021505376344086	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.180088088391722	0	NA	4	30	0.133333333333333
"AY.3.1"	"sample.freebayes.ann"	0.168832582867239	0	NA	4	32	0.125
"B.1.1.7"	"sample.freebayes.ann"	0.132161955691367	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.126415783704786	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.143627119094083	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.1231089592235	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.120477524318084	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.242177880910053	0.965811965811966	0.965811965811966	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.082937522835221	0	NA	2	23	0.0869565217391304
"P.1.1"	"sample.freebayes.ann"	0.0908363345338135	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.082937522835221	0	NA	2	23	0.0869565217391304
