"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.193786604771682	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.166460376183316	0.0171297619922216	0.0158730158730159	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.177627110645023	0	NA	4	30	0.133333333333333
"AY.3.1"	"sample.freebayes.ann"	0.166525416229709	0	NA	4	32	0.125
"B.1.1.7"	"sample.freebayes.ann"	0.132712030363596	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.126941942086918	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.144590114526823	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.123934383880134	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.121220102044048	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.237738600741724	0.980769230769231	0.980769230769231	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.123180067043578	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.13491150200011	0	NA	3	21	0.142857142857143
"P.1.2"	"sample.freebayes.ann"	0.123180067043578	0	NA	3	23	0.130434782608696
