"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.33873197124202	0	NA	5	31	0.161290322580645
"AY.2"	"sample.freebayes.ann"	0.306395696376433	0.142586395004084	0.123762376237624	4	29	0.137931034482759
"AY.3"	"sample.freebayes.ann"	0.345884227653685	0	NA	5	30	0.166666666666667
"AY.3.1"	"sample.freebayes.ann"	0.32426646342533	0	NA	5	32	0.15625
"B.1.1.7"	"sample.freebayes.ann"	0.111935325476992	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.107068572195384	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0881523021881055	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0755591161612333	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0870685710306169	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.405897407735401	0.903225806451613	0.903225806451613	5	21	0.238095238095238
"P.1"	"sample.freebayes.ann"	0.0635903113258186	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.069646531452087	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0635903113258186	0	NA	1	23	0.0434782608695652
