"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.204930420706786	0	NA	3	31	0.0967741935483871
"AY.2"	"sample.freebayes.ann"	0.189370066579284	0.0277777777777778	0.222222222222222	2	29	0.0689655172413793
"AY.3"	"sample.freebayes.ann"	0.197268681107157	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.184939388537959	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.170454545454545	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.16304347826087	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.121376811594203	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.104037267080745	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0993083003952569	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.230225099994351	0	NA	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.16304347826087	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.130952380952381	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.16304347826087	0	NA	3	23	0.130434782608696
