"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.197099822276277	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.164408523640604	0.020479848845514	0.0338983050847458	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.18217660368247	0	NA	4	30	0.133333333333333
"AY.3.1"	"sample.freebayes.ann"	0.170790565952315	0	NA	4	32	0.125
"B.1.1.7"	"sample.freebayes.ann"	0.128254769022965	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.122678474717619	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.137769601495092	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.118088229852936	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.116406086726942	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.229850432073639	0.867647058823529	0.867647058823529	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.120580893060365	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.132064787637543	0	NA	3	21	0.142857142857143
"P.1.2"	"sample.freebayes.ann"	0.120580893060365	0	NA	3	23	0.130434782608696
