sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0018427297951853505	0.0018071826505350129	0.0009620423629568705
sample	AV.1	0.0003496578984845968	0.00036707953875856215	0.00035929491775408645
sample	Alpha_B.1.1.7	0.000527522422064957	0.0005117192103094366	0.0004791960949545632
sample	B.1	0	1.2728532085511224e-11	1.1725353102373529e-10
sample	B.1.1	0	7.0350687989493045e-12	5.196846884743922e-11
sample	B.1.1.318	0	1.6307468748504545e-05	0.0001196674804473933
sample	B.1.177	0.002863934756281043	0.0027553673390057426	0.0017668483907142022
sample	B.1.617.3	2.6435416927635277e-09	1.3834685829919782e-05	0.00013763027589310428
sample	B.1.621	0.001026600754316835	0.0009650619857496809	0.000578131412778975
sample	B.1.623	0.0013831805193355367	0.0011934860448623468	0.0008474633102189814
sample	Beta_B.1.351	0.0005110492021523027	0.0005126466074328388	0.0005076016951763622
sample	Delta_B.1.617.2	0.001701238982456218	0.001564277204476846	0.001095511969291065
sample	Epsilon_B.1.427_429	0.0008824914343054484	0.0007270789859617624	0.0009216703772506841
sample	Eta_B.1.525	0.0007147225443350098	0.0006970628066133008	0.000758497252861211
sample	Gamma_P.1	0	0.0	0.0
sample	Iota_B.1.526	0	0.0	0.0
sample	Kappa_B.1.617.1	2.4953788325985138e-08	0.0003794815185333254	0.0007156319701459743
sample	Lambda_C.37	0.002128608031546396	0.002136092875673407	0.0010118527912918044
sample	Theta_P.3	0	0.0	0.0
sample	Zeta_P.2	0	0.0	0.0
