"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.258064516129032	0	NA	8	31	0.258064516129032
"AY.2"	"sample.freebayes.ann"	0.137931034482759	0	NA	4	29	0.137931034482759
"AY.3"	"sample.freebayes.ann"	0.233333333333333	0	NA	7	30	0.233333333333333
"AY.3.1"	"sample.freebayes.ann"	0.21875	0	NA	7	32	0.21875
"B.1.1.7"	"sample.freebayes.ann"	0.142857142857143	0	NA	3	21	0.142857142857143
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.136363636363636	0	NA	3	22	0.136363636363636
"B.1.351"	"sample.freebayes.ann"	0.166666666666667	0	NA	3	18	0.166666666666667
"B.1.351.2"	"sample.freebayes.ann"	0.142857142857143	0	NA	3	21	0.142857142857143
"B.1.351.3"	"sample.freebayes.ann"	0.181818181818182	0	NA	4	22	0.181818181818182
"B.1.617.2"	"sample.freebayes.ann"	0.19047619047619	1	1	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.181818181818182	0	NA	4	22	0.181818181818182
"P.1.1"	"sample.freebayes.ann"	0.142857142857143	0	NA	3	21	0.142857142857143
"P.1.2"	"sample.freebayes.ann"	0.181818181818182	0	NA	4	22	0.181818181818182
