sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0007665754431839464	0.0007706942697192588	0.0001907332114302505
sample	AV.1	0.0028862788056744854	0.0028910197698349565	0.00024897506551499726
sample	Alpha_B.1.1.7	0.001044785369180214	0.0010534445361579318	0.00022245898469578526
sample	B.1	2.1715358373147525e-10	4.0171656469467475e-08	6.710981505870523e-08
sample	B.1.1	1.9281995908123745e-08	1.4540110827701613e-07	1.3097083228639395e-07
sample	B.1.1.318	0.0005178655033455307	0.0005081887601916805	0.00013343342299480218
sample	B.1.177	0.0008360349543737457	0.0008001130490027816	0.0002258710698889111
sample	B.1.617.3	0.0006228542093059615	0.0006589483760315983	0.00022346517028126527
sample	B.1.621	0.0009031845202392004	0.0009014015042097217	0.00016045354678387424
sample	B.1.623	0.0006804594560461078	0.0006966795806487808	0.0002118903694951101
sample	Beta_B.1.351	0.0007518612707708346	0.0007736850908585599	0.00018130182381625898
sample	Delta_B.1.617.2	0.8786530885458896	0.8784430139296515	0.0017494219720985936
sample	Epsilon_B.1.427_429	0.000314710022167937	0.00027593399759994196	0.0001649125680158031
sample	Eta_B.1.525	0.002845732417101542	0.0028665459329885483	0.0003200632370591911
sample	Gamma_P.1	0.0010729558806424932	0.0010907393720507677	0.00016649732889544787
sample	Iota_B.1.526	0.0006152070028445502	0.0005957305337438759	0.0002227596046969389
sample	Kappa_B.1.617.1	0.0005621391742071442	0.0005759905778242961	0.000216360011867751
sample	Lambda_C.37	0.0009297597383726629	0.0009337675416985109	0.00019827524045711243
sample	Theta_P.3	0.0008007756640575043	0.0008370171923034423	0.0001989663482835225
sample	Zeta_P.2	0.0002004699069612182	0.0001484557123097263	0.00014269664101224742
