sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0010418343320937535	0.0010325915709213905	0.0001640386370704881
sample	AV.1	0.13787627038942363	0.1384106965358702	0.00175469168544046
sample	Alpha_B.1.1.7	0.002326606377325972	0.0023181566203331733	0.000533528463626543
sample	B.1	1.590272627154234e-07	3.9364761190318863e-07	1.687494683316763e-07
sample	B.1.1	0.3816712081756442	0.3816253864209261	0.0038277667755253373
sample	B.1.1.318	0.005556539069680022	0.005564401965466247	0.0005500930536795758
sample	B.1.177	1.0029054498847135e-05	1.7808082507237583e-05	5.416883377510862e-05
sample	B.1.617.3	0.023972765213535394	0.023917970533716075	0.0008724320485264394
sample	B.1.621	0.0008610858690951138	0.0008604606808714694	0.00025328246055015435
sample	B.1.623	0.011384133264571238	0.011751087786817393	0.002450606629782344
sample	Beta_B.1.351	0.10534070117132406	0.10542930416632545	0.002521455912756664
sample	Delta_B.1.617.2	0.09624269242433188	0.09624040186328366	0.0016056928810217908
sample	Epsilon_B.1.427_429	0.0008655508998504609	0.0008833934847583806	0.00020938002658743836
sample	Eta_B.1.525	0.0001746583567601063	0.00010330933837272934	9.448379197569363e-05
sample	Gamma_P.1	0.07344443491287761	0.07294638051545284	0.0019418728954239267
sample	Iota_B.1.526	3.807014153368549e-07	9.816122162677523e-07	4.2557445609525265e-07
sample	Kappa_B.1.617.1	0.0003934536435602239	0.00035157585012584794	0.00017511121959572578
sample	Lambda_C.37	0.1561253321427547	0.15584958563377566	0.0020168001576968348
sample	Theta_P.3	0.0021188053005048984	0.0021072120727345382	0.0004500882202105994
sample	Zeta_P.2	0.0005927315792368314	0.0005873131101299984	0.00020623386856780633
