"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.17180710994075	0	NA	2	31	0.0645161290322581
"AY.2"	"sample.freebayes.ann"	0.119288060051607	0.0208333333333333	0.166666666666667	1	29	0.0344827586206897
"AY.3"	"sample.freebayes.ann"	0.168690476190476	0	NA	2	30	0.0666666666666667
"AY.3.1"	"sample.freebayes.ann"	0.158147321428571	0	NA	2	32	0.0625
"B.1.1.7"	"sample.freebayes.ann"	0.0818181818181818	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0782608695652174	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0869614512471655	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0745383867832848	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0825139146567718	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.185827664399093	0.875	0.875	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.0347826086956522	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0380952380952381	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0347826086956522	0	NA	1	23	0.0434782608695652
