"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.135407850870413	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.112297302183621	0.0155564263322884	0.0517241379310345	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.109365890343871	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.102530522197379	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.224202170409724	0	NA	5	22	0.227272727272727
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.214454249957127	0	NA	5	23	0.217391304347826
"B.1.351"	"sample.freebayes.ann"	0.160311709224753	0	NA	3	18	0.166666666666667
"B.1.351.2"	"sample.freebayes.ann"	0.137410036478359	0	NA	3	21	0.142857142857143
"B.1.351.3"	"sample.freebayes.ann"	0.131813476378694	0	NA	3	22	0.136363636363636
"B.1.617.2"	"sample.freebayes.ann"	0.105500175523811	0	NA	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.171506211781093	0	NA	4	23	0.173913043478261
"P.1.1"	"sample.freebayes.ann"	0.141959010539529	0	NA	3	21	0.142857142857143
"P.1.2"	"sample.freebayes.ann"	0.171506211781093	0	NA	4	23	0.173913043478261
