sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0018113095767293404	0.0018457635080001236	0.001290796855494242
sample	AV.1	0.09102489633424941	0.09182477872579863	0.006680727425281633
sample	Alpha_B.1.1.7	0.03524899591163008	0.03327647246806379	0.008562563933757728
sample	B.1	0	0.0	0.0
sample	B.1.1	0.33417310383308396	0.3339993140446102	0.02216943972258425
sample	B.1.1.318	0	0.0	0.0
sample	B.1.177	0.0015756535634925614	0.0019563383689992914	0.001719383333111537
sample	B.1.617.3	0.012508691703372661	0.012253159376135296	0.0030035988505310147
sample	B.1.621	0.013729347278416385	0.013359230270261287	0.0038330989284599973
sample	B.1.623	0.0041142752190721525	0.004527074998504388	0.004093460088177309
sample	Beta_B.1.351	0.05167293477123477	0.05196524401804161	0.007608622355368801
sample	Delta_B.1.617.2	0.14585161409516664	0.1459540823521576	0.009866592348587966
sample	Epsilon_B.1.427_429	0	0.0	0.0
sample	Eta_B.1.525	0.07254771002207817	0.07298017306023563	0.007630703276001976
sample	Gamma_P.1	0.04352296564046403	0.04390174809081235	0.0066699047452847705
sample	Iota_B.1.526	0.0016131902745757571	0.0016453615018260281	0.0014618264447225696
sample	Kappa_B.1.617.1	0	0.0	0.0
sample	Lambda_C.37	0.10361287276319162	0.10282300883073087	0.007836842408004302
sample	Theta_P.3	2.5301139756699572e-09	5.760695277702004e-09	3.3053864394668326e-09
sample	Zeta_P.2	0	0.0	0.0
