sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.000661954182443212	0.0006473726158522156	0.00015302046913006652
sample	AV.1	0.1356939053220485	0.13578226768877197	0.0016621801823034498
sample	Alpha_B.1.1.7	0.006207593007354546	0.006172829131870127	0.0012006176517280012
sample	B.1	5.979146436855836e-09	3.3231207937732016e-08	3.814410211461101e-08
sample	B.1.1	0.2842361909401185	0.28437812286492803	0.004173365781237325
sample	B.1.1.318	0.000761093055656558	0.00074661907817962	0.00019593423661280816
sample	B.1.177	0.0005864624703431305	0.0005858570786669949	0.00023927227713844732
sample	B.1.617.3	0.0008593368016721312	0.0008540061066594623	0.00023422774492895998
sample	B.1.621	0.008443330695581884	0.00836055100563977	0.0007651709796579894
sample	B.1.623	0.003094699918090994	0.0030566774809996466	0.000740660988323623
sample	Beta_B.1.351	0.031610233813466344	0.03179167058449916	0.001403576053726939
sample	Delta_B.1.617.2	0.14497185807513815	0.14449866131818082	0.0019731561658440826
sample	Epsilon_B.1.427_429	0.0004011470840425321	0.0003756207502664319	0.00022887624248539473
sample	Eta_B.1.525	0.08638819990377725	0.08675568824659884	0.001301430684549002
sample	Gamma_P.1	0.07927425088904153	0.07918442074694995	0.001629841470313426
sample	Iota_B.1.526	0.0002171663538664792	0.0002033049119845806	0.0002128888770861685
sample	Kappa_B.1.617.1	0.0012657124986423477	0.0012744441463356487	0.00039662740203271244
sample	Lambda_C.37	0.21164214672957282	0.21165151590486	0.002233484110625117
sample	Theta_P.3	0.0028304129422669754	0.002794268673396601	0.0007017983832198841
sample	Zeta_P.2	0.0008545272509178105	0.0008866966401965722	0.0002517621629155149
