"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.136608841089284	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.112552982615869	0.0067816091954023	0.0266666666666667	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.109271808533339	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.102442320500005	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.181432973805855	0	NA	4	22	0.181818181818182
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.173544583640383	0	NA	4	23	0.173913043478261
"B.1.351"	"sample.freebayes.ann"	0.163791402305359	0	NA	3	18	0.166666666666667
"B.1.351.2"	"sample.freebayes.ann"	0.140392630547451	0	NA	3	21	0.142857142857143
"B.1.351.3"	"sample.freebayes.ann"	0.134011147340749	0	NA	3	22	0.136363636363636
"B.1.617.2"	"sample.freebayes.ann"	0.107288752596635	0	NA	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.130066322770818	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.0948345439870864	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.130066322770818	0	NA	3	23	0.130434782608696
