"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.187984685565331	0	NA	1	31	0.032258064516129
"AY.2"	"sample.freebayes.ann"	0.1891675374434	0.109375	0.125	1	29	0.0344827586206897
"AY.3"	"sample.freebayes.ann"	0.181750841750842	0	NA	1	30	0.0333333333333333
"AY.3.1"	"sample.freebayes.ann"	0.170391414141414	0	NA	1	32	0.03125
"B.1.1.7"	"sample.freebayes.ann"	0.0804195804195804	0	NA	1	22	0.0454545454545455
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.0769230769230769	0	NA	1	23	0.0434782608695652
"B.1.351"	"sample.freebayes.ann"	0.0635683760683761	0	NA	0	18	0
"B.1.351.2"	"sample.freebayes.ann"	0.0544871794871795	0	NA	0	21	0
"B.1.351.3"	"sample.freebayes.ann"	0.0520104895104895	0	NA	0	22	0
"B.1.617.2"	"sample.freebayes.ann"	0.249326599326599	1	1	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.0345317725752508	0	NA	0	23	0
"P.1.1"	"sample.freebayes.ann"	0.0378205128205128	0	NA	0	21	0
"P.1.2"	"sample.freebayes.ann"	0.0345317725752508	0	NA	0	23	0
