sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.0007254537664568972	0.0007302487217520638	0.0007569731709453202
sample	AV.1	0.12390388241072983	0.1241377144311936	0.00749128480091694
sample	Alpha_B.1.1.7	0.001734989812652157	0.0018087488433687375	0.0017109250133893362
sample	B.1	0	0.0	0.0
sample	B.1.1	0.35180455780055253	0.35357259750797665	0.021765753476531185
sample	B.1.1.318	0.003074453502143975	0.0030230921347472687	0.0015724737124464831
sample	B.1.177	0	0.0	0.0
sample	B.1.617.3	0.03489376036345547	0.03530594496267347	0.004884608554754395
sample	B.1.621	0	0.0	0.0
sample	B.1.623	0.0046711478261732544	0.004691994041463605	0.003191124652999771
sample	Beta_B.1.351	0.13587676102683005	0.135383043499539	0.01082031868816179
sample	Delta_B.1.617.2	0.07851691373433155	0.07762567447366064	0.006332788833825806
sample	Epsilon_B.1.427_429	0.002000545041041601	0.002174388176122721	0.0011802023986480052
sample	Eta_B.1.525	0	0.0	0.0
sample	Gamma_P.1	0.08529782125972944	0.08479167281207939	0.011123290894207945
sample	Iota_B.1.526	0	0.0	0.0
sample	Kappa_B.1.617.1	0.0007987535780168782	0.0009666143180934146	0.0009192610821902383
sample	Lambda_C.37	0.17362888269930593	0.17257845459442753	0.00974424771294306
sample	Theta_P.3	0.0016592613901120507	0.0019155517672522	0.0018708042868456013
sample	Zeta_P.2	0.001412835602845826	0.0012942818323587741	0.0014574625992459483
