"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.210513102630188	0	NA	5	31	0.161290322580645
"AY.2"	"sample.freebayes.ann"	0.193301798481669	0.04243633262521	0.0205479452054795	4	29	0.137931034482759
"AY.3"	"sample.freebayes.ann"	0.197368449840911	0	NA	5	30	0.166666666666667
"AY.3.1"	"sample.freebayes.ann"	0.185032921725854	0	NA	5	32	0.15625
"B.1.1.7"	"sample.freebayes.ann"	0.131335478680611	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.125625240477107	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.138568512071219	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.118773010346759	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.115591532049401	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.267286748184954	0.951612903225806	0.951612903225806	5	21	0.238095238095238
"P.1"	"sample.freebayes.ann"	0.118378863665512	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.129653041157466	0	NA	3	21	0.142857142857143
"P.1.2"	"sample.freebayes.ann"	0.118378863665512	0	NA	3	23	0.130434782608696
