"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.335334615967597	0	NA	3	31	0.0967741935483871
"AY.2"	"sample.freebayes.ann"	0.304019946212024	0.137269859116513	0.137724550898204	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.339463452031511	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.318246986279542	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.116811084578261	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.111732341770511	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.0986253079044796	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0845359782038396	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0994434337400287	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.404431483060834	0.986111111111111	0.986111111111111	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.0906750060289233	0	NA	1	23	0.0434782608695652
"P.1.1"	"sample.freebayes.ann"	0.0993107208888207	0	NA	1	21	0.0476190476190476
"P.1.2"	"sample.freebayes.ann"	0.0906750060289233	0	NA	1	23	0.0434782608695652
