"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.128412717031312	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.103011385368382	0	NA	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.0994846515440911	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.0932668608225854	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.134990866107887	0	NA	3	22	0.136363636363636
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.12912169801624	0	NA	3	23	0.130434782608696
"B.1.351"	"sample.freebayes.ann"	0.112348233064525	0	NA	2	18	0.111111111111111
"B.1.351.2"	"sample.freebayes.ann"	0.0962984854838787	0	NA	2	21	0.0952380952380952
"B.1.351.3"	"sample.freebayes.ann"	0.0919212815982479	0	NA	2	22	0.0909090909090909
"B.1.617.2"	"sample.freebayes.ann"	0.0948131187635786	0	NA	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.130064191648468	0	NA	3	23	0.130434782608696
"P.1.1"	"sample.freebayes.ann"	0.0958904109589041	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.130064191648468	0	NA	3	23	0.130434782608696
