"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.133995037220844	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.106100795755968	0	NA	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.105128205128205	0	NA	3	30	0.1
"AY.3.1"	"sample.freebayes.ann"	0.0985576923076923	0	NA	3	32	0.09375
"B.1.1.7"	"sample.freebayes.ann"	0.181818181818182	0	NA	4	22	0.181818181818182
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.173913043478261	0	NA	4	23	0.173913043478261
"B.1.351"	"sample.freebayes.ann"	0.177777777777778	0	NA	3	18	0.166666666666667
"B.1.351.2"	"sample.freebayes.ann"	0.152380952380952	0	NA	3	21	0.142857142857143
"B.1.351.3"	"sample.freebayes.ann"	0.145454545454545	0	NA	3	22	0.136363636363636
"B.1.617.2"	"sample.freebayes.ann"	0.0989010989010989	0	NA	2	21	0.0952380952380952
"P.1"	"sample.freebayes.ann"	0.177257525083612	0	NA	4	23	0.173913043478261
"P.1.1"	"sample.freebayes.ann"	0.146520146520146	0	NA	3	21	0.142857142857143
"P.1.2"	"sample.freebayes.ann"	0.177257525083612	0	NA	4	23	0.173913043478261
